iter	RMSE
0	2.842758025
1	2.800651717
2	2.759550413
3	2.718264267
4	2.675274853
5	2.63566266
6	2.592803294
7	2.557373103
8	2.522960682
9	2.484957195
10	2.448543829
11	2.415192691
12	2.383987896
13	2.350561703
14	2.317485021
15	2.289109281
16	2.262036069
17	2.230912241
18	2.206720826
19	2.180649099
20	2.159209123
21	2.135964807
22	2.108122266
23	2.085901106
24	2.06421009
25	2.042483616
26	2.018278464
27	1.998939442
28	1.981150068
29	1.96168843
30	1.941604815
31	1.920669934
32	1.900220804
33	1.880835847
34	1.86827108
35	1.851249538
36	1.836770076
37	1.823675928
38	1.804333393
39	1.784813147
40	1.767190799
41	1.755394052
42	1.737481245
43	1.722163637
44	1.70859633
45	1.694848421
46	1.684735372
47	1.671425887
48	1.660952037
49	1.649120298
50	1.63611964
51	1.624418456
52	1.610402712
53	1.597259655
54	1.5842789
55	1.575699706
56	1.566587235
57	1.555139213
58	1.546395313
59	1.532959929
60	1.525613802
61	1.512844482
62	1.507594799
63	1.496342325
64	1.488142868
65	1.479742136
66	1.469877129
67	1.460990536
68	1.447712109
69	1.440220123
70	1.430295057
71	1.423605329
72	1.417973281
73	1.40957552
74	1.402525746
75	1.394489679
76	1.386264387
77	1.375820983
78	1.364480778
79	1.359157421
80	1.351538663
81	1.345589173
82	1.340022762
83	1.333930692
84	1.328179277
85	1.322064785
86	1.317919471
87	1.313415254
88	1.307155951
89	1.300254206
90	1.292849315
91	1.284683911
92	1.278955266
93	1.275144721
94	1.267975467
95	1.264779427
96	1.260051196
97	1.255755727
98	1.252782485
99	1.246834753
100	1.239052006
101	1.232872486
102	1.225893233
103	1.21933227
104	1.215133954
105	1.208727909
106	1.201826706
107	1.199066782
108	1.196446472
109	1.190213413
110	1.180497164
111	1.173550309
112	1.167410787
113	1.165763428
114	1.160512889
115	1.156349339
116	1.150097861
117	1.147078646
118	1.141006717
119	1.137443168
120	1.132290279
121	1.128008781
122	1.123074673
123	1.12023627
124	1.11460437
125	1.108091836
126	1.105261287
127	1.102703404
128	1.099792426
129	1.094174136
130	1.0887482
131	1.084259361
132	1.078904463
133	1.074085622
134	1.070044627
135	1.067010295
136	1.063273962
137	1.061001989
138	1.059744183
139	1.054233773
140	1.050328649
141	1.047832328
142	1.045080929
143	1.041277929
144	1.037578942
145	1.0336204
146	1.030489762
147	1.028833495
148	1.023441969
149	1.019477096
150	1.015749567
151	1.010504947
152	1.008438196
153	1.00714037
154	1.002472932
155	0.999215481
156	0.9969619896
157	0.9940285573
158	0.991974566
159	0.9882637142
160	0.9858923519
161	0.9848112974
162	0.9800850968
163	0.9756587136
164	0.9717964944
165	0.9709762527
166	0.9666671126
167	0.962682145
168	0.9591362236
169	0.9578466571
170	0.9546410698
171	0.9514584973
172	0.9493063354
173	0.9449548078
174	0.9410361027
175	0.9391485064
176	0.9357244926
177	0.9310200509
178	0.9285868753
179	0.9265330741
180	0.9220632868
181	0.9212603067
182	0.9153381131
183	0.9104291784
184	0.9084135672
185	0.9076553552
186	0.9060422618
187	0.9013069555
188	0.8968036725
189	0.8935689425
190	0.8924626984
191	0.8896377328
192	0.886367058
193	0.882907939
194	0.8808957462
195	0.8783129445
196	0.8777632249
197	0.8718729834
198	0.8686141883
199	0.8659615767
200	0.8654571574
201	0.8611458522
202	0.8580384758
203	0.85702004
204	0.8532104977
205	0.8521473461
206	0.8486798991
207	0.8452215005
208	0.8419567096
209	0.8383051797
210	0.8338216477
211	0.8303241229
212	0.8276902043
213	0.8262361567
214	0.8244569151
215	0.8189411557
216	0.8149007417
217	0.81126317
218	0.8061724209
219	0.8032157033
220	0.7995077605
221	0.7958765755
222	0.791732532
223	0.7884536232
224	0.7855245092
225	0.7811911785
226	0.7778361489
227	0.7747147396
