iter	Passed	Remaining
0	20	20322
1	37	18896
2	55	18530
3	72	18002
4	88	17691
5	104	17274
6	121	17306
7	138	17167
8	157	17386
9	176	17447
10	190	17122
11	205	16903
12	220	16759
13	235	16607
14	251	16530
15	269	16557
16	285	16484
17	301	16455
18	316	16342
19	331	16261
20	347	16186
21	364	16203
22	381	16194
23	396	16128
24	412	16102
25	428	16055
26	449	16215
27	473	16448
28	493	16524
29	511	16524
30	528	16528
31	547	16576
32	567	16616
33	584	16603
34	600	16548
35	616	16503
36	634	16507
37	652	16521
38	668	16462
39	684	16433
40	698	16346
41	716	16350
42	732	16296
43	753	16380
44	769	16327
45	786	16315
46	800	16226
47	815	16180
48	831	16134
49	845	16065
50	860	16014
51	877	15998
52	894	15988
53	911	15961
54	927	15943
55	944	15919
56	958	15865
57	998	16220
58	1021	16284
59	1037	16260
60	1054	16236
61	1073	16237
62	1091	16226
63	1109	16221
64	1133	16297
65	1156	16362
66	1179	16421
67	1204	16505
68	1227	16564
69	1252	16645
70	1272	16655
71	1290	16636
72	1310	16639
73	1326	16604
74	1345	16589
75	1361	16554
76	1383	16585
77	1402	16576
78	1420	16557
79	1438	16540
80	1460	16566
81	1480	16576
82	1501	16591
83	1520	16584
84	1541	16591
85	1561	16594
86	1582	16609
87	1602	16603
88	1626	16649
89	1652	16710
90	1680	16783
91	1703	16813
92	1729	16866
93	1751	16884
94	1773	16895
95	1790	16862
96	1807	16828
97	1829	16834
98	1848	16825
99	1867	16804
100	1883	16765
101	1898	16717
102	1918	16709
103	1938	16699
104	1954	16663
105	1971	16629
106	1987	16588
107	2004	16558
108	2020	16515
109	2035	16466
110	2053	16445
111	2067	16395
112	2081	16341
113	2096	16292
114	2113	16267
115	2130	16235
116	2144	16185
117	2160	16147
118	2176	16110
119	2191	16069
120	2206	16027
121	2220	15978
122	2237	15950
123	2252	15910
124	2266	15862
125	2279	15814
126	2294	15770
127	2310	15736
128	2328	15720
129	2345	15699
130	2360	15661
131	2375	15621
132	2390	15583
133	2406	15550
134	2420	15509
135	2436	15479
136	2452	15446
137	2467	15411
138	2480	15367
139	2496	15333
140	2510	15291
141	2523	15247
142	2541	15230
143	2556	15197
144	2571	15162
145	2586	15128
146	2601	15097
147	2616	15064
148	2631	15031
149	2646	14998
150	2662	14971
151	2679	14948
152	2693	14912
153	2709	14883
154	2726	14863
155	2742	14836
156	2757	14805
157	2771	14771
158	2788	14747
159	2804	14723
160	2818	14685
161	2834	14660
162	2850	14637
163	2867	14618
164	2884	14598
165	2899	14569
166	2915	14544
167	2930	14513
168	2944	14477
169	2960	14452
170	2978	14437
171	2992	14405
172	3008	14383
173	3025	14364
174	3042	14343
175	3057	14313
176	3072	14288
177	3088	14260
178	3102	14232
179	3118	14207
180	3132	14174
181	3151	14163
182	3167	14139
183	3183	14118
184	3198	14091
185	3213	14061
186	3230	14043
187	3246	14022
188	3261	13995
189	3277	13970
190	3293	13948
191	3309	13928
192	3325	13905
193	3341	13882
194	3356	13854
195	3373	13836
196	3386	13805
197	3401	13779
198	3416	13753
199	3434	13737
200	3447	13706
201	3462	13677
202	3477	13653
203	3494	13636
204	3510	13614
205	3528	13598
206	3543	13575
207	3560	13555
208	3574	13529
209	3589	13504
210	3604	13478
211	3621	13460
212	3636	13435
213	3651	13410
214	3691	13476
