iter	MultiClass
0	1.812657965
1	1.712885378
2	1.625005348
3	1.556043207
4	1.49986603
5	1.453493771
6	1.409051508
7	1.371924453
8	1.341953511
9	1.313016679
10	1.288277355
11	1.266162534
12	1.245427393
13	1.225772138
14	1.209294136
15	1.19471917
16	1.181581563
17	1.169050339
18	1.157725199
19	1.147243712
20	1.138050373
21	1.130154369
22	1.120778912
23	1.112178458
24	1.104761276
25	1.099050914
26	1.09176468
27	1.086668669
28	1.080645438
29	1.076177369
30	1.071896652
31	1.06767011
32	1.063960777
33	1.058338272
34	1.054501289
35	1.050265767
36	1.047183797
37	1.043753215
38	1.039249039
39	1.035348081
40	1.03152291
41	1.028110007
42	1.025057994
43	1.022327714
44	1.020052752
45	1.017340311
46	1.015203302
47	1.013521949
48	1.012006497
49	1.00965447
50	1.007195464
51	1.004720634
52	1.001322262
53	0.9997834909
54	0.9969237021
55	0.994731721
56	0.9928574012
57	0.9913329236
58	0.9901077219
59	0.9881245951
60	0.9864468117
61	0.9849928517
62	0.9825274611
63	0.9809123883
64	0.9795577503
65	0.977396762
66	0.9756571163
67	0.9742830304
68	0.973281825
69	0.9714592707
70	0.9701468523
71	0.967528002
72	0.9669997676
73	0.9652813323
74	0.9644678349
75	0.9628420044
76	0.9617227218
77	0.9608148529
78	0.9600471337
79	0.9579903425
80	0.9569056068
81	0.9557336967
82	0.9543467321
83	0.9523545395
84	0.9512102012
85	0.9494484654
86	0.9485854749
87	0.9478333451
88	0.9466560726
89	0.9458553552
90	0.9454925601
91	0.9433116062
92	0.9421858859
93	0.9408605172
94	0.939055274
95	0.9380584935
96	0.9370701269
97	0.9364645284
98	0.9357998563
99	0.9347119648
100	0.9328461866
101	0.9312393095
102	0.9295887567
103	0.9289297441
104	0.9274524181
105	0.9264207735
106	0.9252573645
107	0.9232060142
108	0.9223762187
109	0.9218935062
110	0.9206632965
111	0.9194498296
112	0.9186798399
113	0.9175417511
114	0.9158789198
115	0.914676264
116	0.9121745547
117	0.9109376084
118	0.9091188251
119	0.9083156572
120	0.9074970164
121	0.9064025894
122	0.9053446347
123	0.9038779542
124	0.9019193013
125	0.9006716615
126	0.8994671863
127	0.8986814751
128	0.8980333269
129	0.8966766906
130	0.8948491444
131	0.8940085882
132	0.8928409913
133	0.8919309483
134	0.8909111257
135	0.8900468162
136	0.8882673642
137	0.8867198409
138	0.8857749404
139	0.8852458986
140	0.8845020096
141	0.8835240379
142	0.8819361282
143	0.8799607783
144	0.8787983986
145	0.8781584335
146	0.8770020041
147	0.8760152616
148	0.8754272055
149	0.8743441096
150	0.8736596497
151	0.8725862889
152	0.8713691887
153	0.8698382489
154	0.8686559946
155	0.8683824329
156	0.8675578409
157	0.8662501724
158	0.8655433598
159	0.8646206443
160	0.8636209562
161	0.8624248739
162	0.8616742891
163	0.8608943809
164	0.8599979517
165	0.8592525534
166	0.8584296274
167	0.8575284292
168	0.8562851583
169	0.8549811128
170	0.854356858
171	0.8534307847
172	0.8525450987
173	0.8514454523
174	0.8504062531
175	0.8496318905
176	0.8486185612
177	0.8474228206
178	0.8470206289
179	0.8458368472
180	0.8447967417
181	0.8438249686
182	0.8429508768
183	0.8417657214
184	0.8410682423
185	0.8402620613
186	0.8389999202
187	0.8381945704
188	0.8377528085
189	0.8371685915
190	0.8367400979
191	0.8356896609
192	0.835089866
193	0.8345876374
194	0.8338168381
195	0.8328334464
196	0.8320239104
197	0.8312146429
198	0.8302033467
199	0.8290381628
200	0.8281467806
201	0.8275387024
202	0.8263758761
203	0.8261867427
204	0.8255723721
205	0.8248388541
206	0.8241220325
207	0.8231790502
208	0.822158447
209	0.821201034
210	0.8200838395
211	0.8193668019
212	0.8181109753
213	0.8176665369
214	0.8168215414
215	0.8163363424
216	0.8155808986
217	0.8150870358
218	0.8138569265
219	0.8131603399
220	0.8118154028
221	0.8110889478
222	0.8100693917
223	0.8095436677
224	0.8089537304
225	0.8085517654
226	0.8076647354
227	0.8066239638
228	0.80606467
229	0.8051020394
230	0.8041645343
231	0.8034490609
232	0.8027945123
233	0.8023571221
234	0.8016937029
235	0.800994771
236	0.8005705389
237	0.7996696232
238	0.7986287093
239	0.7983224213
240	0.7975630738
241	0.7971880621
242	0.7965542635
243	0.7955236131
244	0.7950145926
245	0.7945961242
246	0.7934939483
247	0.7930332361
248	0.7923236988
249	0.7916293274
250	0.791164419
251	0.7905476057
252	0.7896030744
253	0.7892917298
254	0.7885947933
255	0.7881525161
256	0.7869340166
257	0.7867125626
258	0.786118747
259	0.7857670499
260	0.7852077472
261	0.7845653858
262	0.7839297982
263	0.7833043855
264	0.7829413992
265	0.7817830798
266	0.781096793
267	0.7806793543
268	0.7800236593
269	0.7789806441
270	0.7776830261
271	0.7774799547
272	0.7770321216
273	0.7762338461
274	0.7744175567
275	0.7738096275
276	0.773470541
277	0.7728446693
278	0.7722222592
279	0.7714158055
280	0.770967463
281	0.7704352692
282	0.7699133265
283	0.7689250493
284	0.7682625303
285	0.76778955
286	0.7668558407
287	0.7658808679
288	0.7653246249
289	0.7640756474
290	0.7629641559
291	0.7625191971
292	0.7621203612
293	0.7615443484
294	0.7606258975
295	0.759677079
296	0.7591803048
297	0.7588945857
298	0.7580370292
299	0.7572945881
300	0.7566008773
301	0.7558402921
302	0.7550205805
303	0.7543839859
304	0.7541265592
305	0.7531295365
306	0.7523318703
307	0.7516897517
308	0.7513696234
309	0.7507570383
310	0.7497719958
311	0.7495458855
312	0.7488932515
313	0.7480222414
314	0.7472332887
315	0.7463154309
316	0.7452926031
317	0.7447327162
318	0.7441135503
319	0.7432760006
320	0.7423799993
321	0.7418309474
322	0.7411542644
323	0.7404685428
324	0.7403908529
325	0.7400363221
326	0.739670728
327	0.7388348078
328	0.7378378964
329	0.737419527
330	0.736488438
331	0.7356975342
332	0.7352658958
333	0.7346355597
334	0.7342269182
335	0.7338733274
336	0.7334513076
337	0.7328389573
338	0.7325499847
339	0.731984741
340	0.7315749622
341	0.7309721507
342	0.7304058268
343	0.7294383801
344	0.7290994598
345	0.7285099445
346	0.7277318217
347	0.7271395005
348	0.7265519707
349	0.7263363515
350	0.7258277493
351	0.7251417407
