iter	Passed	Remaining
0	2	2199
1	3	1933
2	5	1869
3	9	2272
4	11	2250
5	13	2213
6	15	2218
7	17	2209
8	19	2169
9	21	2145
10	23	2118
11	25	2129
12	28	2139
13	30	2142
14	32	2125
15	34	2106
16	36	2088
17	37	2072
18	41	2132
19	43	2129
20	45	2133
21	47	2121
22	51	2193
23	53	2188
24	55	2174
25	58	2185
26	60	2192
27	63	2196
28	66	2221
29	68	2213
30	70	2198
31	72	2187
32	76	2229
33	79	2246
34	81	2257
35	84	2259
36	86	2256
37	90	2285
38	93	2310
39	96	2320
40	99	2323
41	101	2321
42	104	2336
43	108	2350
44	111	2374
45	114	2375
46	116	2365
47	120	2384
48	123	2404
49	126	2407
50	130	2425
51	134	2447
52	137	2450
53	140	2454
54	144	2476
55	146	2468
56	148	2458
57	152	2484
58	156	2489
59	158	2483
60	161	2485
61	163	2475
62	165	2465
63	168	2458
64	171	2460
65	174	2462
66	177	2464
67	179	2459
68	181	2449
69	183	2440
70	186	2442
71	189	2442
72	192	2439
73	194	2432
74	196	2428
75	199	2420
76	201	2420
77	204	2418
78	206	2410
79	208	2403
80	211	2397
81	214	2397
82	219	2425
83	223	2439
84	225	2431
85	227	2421
86	229	2412
87	232	2406
88	237	2429
89	240	2434
90	243	2429
91	246	2429
92	249	2433
93	254	2451
94	257	2455
95	260	2452
96	263	2457
97	267	2458
98	269	2457
99	273	2457
100	275	2453
101	279	2460
102	282	2462
103	285	2463
104	288	2461
105	291	2460
106	295	2463
107	297	2460
108	300	2455
109	302	2448
110	304	2442
111	307	2435
112	309	2429
113	312	2426
114	314	2424
115	317	2418
116	320	2417
117	322	2411
118	325	2407
119	327	2404
120	330	2399
121	332	2396
122	335	2391
123	338	2389
124	340	2383
125	342	2377
126	346	2383
127	351	2397
128	355	2397
129	357	2393
130	361	2395
131	364	2396
132	367	2395
133	370	2393
134	373	2393
135	376	2393
136	380	2394
137	383	2395
138	386	2392
139	390	2397
140	393	2398
141	397	2401
142	400	2400
143	403	2397
144	407	2400
145	409	2397
146	412	2395
147	415	2394
148	418	2390
149	420	2385
150	423	2382
151	426	2378
152	430	2383
153	432	2377
154	435	2372
155	440	2381
156	444	2386
157	447	2382
158	449	2377
159	451	2369
160	453	2362
161	455	2358
162	458	2355
163	462	2356
164	465	2354
165	467	2349
166	469	2343
167	473	2345
168	477	2349
169	480	2345
170	482	2339
171	484	2332
172	486	2325
173	489	2322
174	492	2320
175	494	2317
176	497	2312
177	499	2307
178	502	2302
179	504	2300
180	510	2308
181	512	2304
182	515	2299
183	517	2292
184	519	2288
185	523	2291
186	526	2290
187	529	2286
188	531	2280
189	533	2274
190	535	2270
191	540	2273
192	543	2270
193	547	2275
194	552	2281
195	555	2280
196	558	2277
197	561	2274
198	563	2268
199	565	2262
200	568	2260
201	572	2260
202	574	2257
203	577	2255
204	580	2250
205	582	2245
206	587	2250
207	591	2250
208	594	2248
209	596	2243
210	599	2239
211	602	2240
212	607	2243
213	609	2240
214	612	2235
215	614	2230
216	618	2232
217	621	2230
218	625	2231
219	629	2230
220	632	2229
221	636	2229
222	639	2229
223	642	2227
224	645	2223
225	648	2220
226	652	2222
227	655	2219
228	657	2214
229	660	2211
230	663	2208
231	666	2206
232	669	2203
233	672	2200
234	674	2195
235	676	2189
236	678	2183
237	681	2182
238	684	2178
239	687	2176
240	690	2174
241	693	2172
242	697	2173
243	700	2171
244	703	2168
245	706	2164
246	708	2160
247	712	2161
248	716	2161
249	719	2157
250	721	2151
251	722	2145
252	724	2140
253	726	2134
254	730	2134
255	733	2131
256	736	2128
257	738	2124
258	741	2120
259	744	2117
260	748	2119
261	751	2117
262	754	2113
263	756	2109
264	760	2110
265	766	2114
266	768	2111
267	772	2108
268	774	2105
269	778	2104
270	780	2100
271	783	2097
272	786	2094
273	790	2094
274	794	2094
275	797	2092
276	801	2090
277	804	2090
278	808	2089
279	811	2086
280	813	2082
281	816	2077
282	818	2072
283	820	2067
284	821	2062
285	824	2057
286	826	2053
287	828	2049
288	831	2045
289	833	2041
290	835	2035
291	837	2031
292	840	2029
293	843	2026
294	846	2023
295	848	2019
296	851	2014
297	853	2010
298	856	2008
299	859	2006
300	862	2003
301	864	1998
302	866	1993
303	868	1988
304	870	1983
305	874	1982
306	878	1983
307	881	1980
308	884	1978
309	886	1973
310	889	1969
311	891	1965
312	894	1964
313	897	1961
314	900	1958
315	902	1954
316	907	1955
317	911	1955
318	915	1954
319	919	1954
320	924	1955
321	927	1952
322	930	1949
323	934	1950
324	936	1946
325	939	1942
326	941	1938
327	943	1933
328	945	1928
329	947	1923
330	950	1921
331	952	1916
332	954	1912
333	956	1907
334	958	1903
335	961	1899
336	963	1895
337	965	1891
338	968	1888
339	971	1885
340	974	1883
341	977	1879
342	979	1876
343	982	1873
344	984	1869
345	987	1866
346	990	1863
347	992	1859
348	994	1855
349	997	1852
350	1000	1849
351	1003	1846
352	1005	1842
353	1007	1839
354	1010	1835
355	1012	1832
356	1015	1829
357	1018	1826
358	1020	1822
359	1023	1819
360	1025	1815
361	1028	1812
362	1031	1809
363	1033	1806
364	1036	1802
365	1038	1799
366	1041	1795
367	1043	1792
368	1046	1789
369	1049	1786
370	1051	1783
371	1054	1779
372	1056	1776
373	1059	1773
374	1062	1770
375	1064	1766
376	1067	1764
377	1069	1760
378	1072	1757
379	1075	1754
380	1077	1751
381	1080	1747
382	1082	1744
383	1085	1740
384	1087	1737
385	1090	1734
386	1092	1731
387	1095	1727
388	1097	1724
389	1100	1720
390	1102	1717
391	1106	1716
392	1109	1713
393	1111	1709
394	1114	1706
395	1116	1702
396	1119	1699
397	1121	1696
398	1124	1694
399	1126	1690
400	1129	1686
401	1131	1683
402	1134	1680
403	1136	1677
404	1139	1673
405	1141	1670
406	1143	1666
407	1145	1662
408	1147	1657
409	1150	1655
410	1152	1651
411	1154	1647
412	1157	1644
413	1159	1641
414	1161	1637
415	1163	1633
416	1166	1630
417	1168	1626
418	1170	1623
419	1173	1619
420	1175	1616
421	1176	1612
422	1178	1608
423	1180	1604
424	1183	1601
425	1186	1598
426	1188	1594
427	1190	1591
428	1192	1587
429	1194	1583
430	1196	1579
431	1198	1575
432	1200	1572
433	1203	1569
434	1206	1566
435	1208	1562
436	1209	1558
437	1211	1554
438	1214	1552
439	1217	1548
440	1219	1546
441	1222	1542
442	1224	1539
443	1226	1536
444	1228	1532
445	1231	1529
446	1233	1526
447	1236	1523
448	1238	1519
449	1240	1516
450	1242	1512
451	1244	1509
452	1246	1505
453	1249	1502
454	1251	1498
455	1253	1495
456	1255	1492
457	1258	1488
458	1260	1485
459	1262	1482
460	1264	1478
461	1266	1475
462	1269	1472
463	1271	1468
464	1273	1465
465	1276	1462
466	1280	1461
467	1283	1459
468	1286	1457
469	1290	1455
470	1293	1453
471	1296	1450
472	1299	1447
473	1302	1445
474	1305	1442
475	1307	1439
476	1309	1436
477	1312	1433
478	1316	1432
479	1320	1430
480	1323	1427
481	1325	1424
482	1327	1421
483	1330	1418
484	1333	1415
485	1337	1414
486	1341	1413
487	1346	1412
488	1349	1409
489	1352	1407
490	1354	1404
491	1356	1401
492	1358	1397
493	1361	1394
494	1363	1391
495	1367	1389
496	1370	1387
497	1373	1384
498	1375	1381
499	1378	1378
500	1382	1376
501	1385	1374
502	1387	1371
503	1390	1367
504	1392	1364
505	1396	1363
506	1400	1361
507	1402	1358
508	1405	1355
509	1407	1352
510	1411	1350
511	1414	1348
512	1417	1345
513	1419	1342
514	1421	1338
515	1425	1336
516	1427	1334
517	1430	1331
518	1433	1328
519	1435	1325
520	1437	1321
521	1443	1321
522	1446	1319
523	1448	1316
524	1451	1313
525	1453	1309
526	1456	1307
527	1460	1305
528	1463	1302
529	1466	1300
530	1468	1297
531	1472	1295
532	1476	1293
533	1479	1291
534	1482	1288
535	1485	1286
536	1488	1282
537	1490	1280
538	1492	1276
539	1495	1273
540	1497	1270
541	1498	1266
542	1501	1263
543	1504	1260
544	1507	1258
545	1509	1255
546	1512	1252
547	1514	1249
548	1517	1246
549	1520	1243
550	1522	1241
551	1525	1238
552	1527	1235
553	1530	1231
554	1533	1229
